title,publishedAt,channelTitle,categoryId,view_count,likes,comment_count,view_like_ratio,title_length,chan_rank,chan_subscribers,chan_video_views,chan_video_count,chan_category,chan_average_views_per_video,chan_number_trending_videos,video_category,cat_total_views,cat_number_trend_videos,cat_number_channels,cat_total_subs,cat_avg_subs
"Selena Gomez, Camilo - 999 (Official Video)",2021-08-27t00:00:10,SelenaGomezVEVO,10,7894415,635439,49430,12.423560719439632,7,574,14500000.0,10323589482.0,183.0,Music,56413057.27868853,1.0,Music,2906210355935,323,222,5114300000,23037387.387387387
LIL NAS X PRESENTS “MONTERO” THE ALBUM,2021-08-26t01:45:28,Lil Nas X,10,2893102,284941,16008,10.153337006608384,7,350,18600000.0,5659051618.0,37.0,Music,152947341.02702704,4.0,Music,2906210355935,323,222,5114300000,23037387.387387387
NO ONE SHOWED UP TO MY BABY SHOWER :(,2021-09-15t23:06:32,Lil Nas X,10,1306303,138501,12340,9.431722514638883,9,350,18600000.0,5659051618.0,37.0,Music,152947341.02702704,4.0,Music,2906210355935,323,222,5114300000,23037387.387387387
LIL NAS X GIVES BIRTH,2021-09-17t04:24:36,Lil Nas X,10,7893609,372629,23217,21.18356059243913,5,350,18600000.0,5659051618.0,37.0,Music,152947341.02702704,4.0,Music,2906210355935,323,222,5114300000,23037387.387387387
Lil Nas X & NBA YoungBoy - Late To Da Party (F*CK BET) (Official Video),2022-06-24t04:52:26,Lil Nas X,10,7769821,304185,23704,25.54307740355376,15,350,18600000.0,5659051618.0,37.0,Music,152947341.02702704,4.0,Music,2906210355935,323,222,5114300000,23037387.387387387
BTS (방탄소년단) 'Butter (feat. Megan Thee Stallion)' Official Visualizer,2021-08-27t04:00:03,HYBE LABELS,10,31489721,4806905,609212,6.550934749074508,9,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
(ENG)📣2021 BELIFT LAB GIRL GROUP GLOBAL AUDITION,2021-09-27t04:00:05,HYBE LABELS,10,2564725,286226,15663,8.960489263728663,7,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
ENHYPEN (엔하이픈) 'Tamed-Dashed' Official MV,2021-10-12t08:56:11,HYBE LABELS,10,13183396,1764839,193784,7.470027577586397,5,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
BTS (방탄소년단) PERMISSION TO DANCE ON STAGE Official Teaser | We’re just getting started,2021-10-15t09:30:04,HYBE LABELS,10,5151675,1279569,35694,4.026101757701226,14,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
SEVENTEEN (세븐틴) 'Rock with you' Official MV,2021-10-22t03:58:09,HYBE LABELS,10,29479954,1097057,208504,26.871852602007007,7,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
[TXT & EN- Choreography] 'Legend of K-POP' 2021 KBS 가요대축제 Dance Practice,2021-12-18t05:00:01,HYBE LABELS,10,3312418,516394,15082,6.414516822426287,12,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
WOOZI 'Ruby' Official MV,2022-01-03t08:59:58,HYBE LABELS,10,3838716,477653,27255,8.036620726761896,4,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official Teaser 2,2022-01-08t15:00:01,HYBE LABELS,10,4002977,484627,18372,8.25991329414168,6,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV,2022-01-10t08:55:12,HYBE LABELS,10,14343544,1577275,134824,9.09387646415495,5,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
"NU'EST (뉴이스트) '다시, 봄' Official M/V",2022-03-15t09:00:03,HYBE LABELS,10,12540262,176590,14604,71.01343224418143,6,21,67800000.0,24013849120.0,971.0,Music,24731049.55715757,20.0,Music,2906210355935,323,222,5114300000,23037387.387387387
