chan_rank,channelTitle,chan_subscribers,chan_video_views,chan_video_count,chan_category,chan_started,chan_average_views_per_video,chan_number_trending_videos
1,T-Series,222000000,198459090822,17317,Music,2006,11460362.119420223,2
3,Cocomelon - Nursery Rhymes,140000000,135481339848,786,Education,2006,172368116.85496184,0
4,SET India,139000000,125764252686,91271,Shows,2006,1377921.2749504223,0
6,PewDiePie,111000000,28469458228,4497,Gaming,2010,6330766.784078275,10
7,MrBeast,102000000,16832456681,726,Entertainment,2012,23185202.039944902,17
8,✿ Kids Diana Show,99700000,79602288245,1009,People & Blogs,2015,78892257.92368682,0
9,Like Nastya,99200000,81963845811,702,People & Blogs,2016,116757615.11538461,0
11,WWE,90200000,70544743313,63077,Sports,2007,1118390.9081440144,27
12,Zee Music Company,86700000,49067711243,6603,Music,2014,7431123.919884901,0
13,Vlad and Niki,85100000,66498762660,472,Entertainment,2018,140887209.02542374,0
14,5-Minute Crafts,77100000,23881457195,5581,Howto & Style,2016,4279064.181150331,0
15,BLACKPINK,76200000,24707415704,397,People & Blogs,2016,62235304.04030227,14
17,Goldmines,74100000,18533088438,3968,Film & Animation,2012,4670637.207157258,0
18,Sony SAB,70600000,82473581441,56295,Shows,2007,1465024.9834088285,0
19,BANGTANTV,70000000,17471090750,1787,Music,2012,9776771.544487968,23
20,Justin Bieber,69700000,28567240999,247,Music,2007,115656846.14979757,1
21,HYBE LABELS,67800000,24013849120,971,Music,2008,24731049.55715757,20
22,Canal KondZilla,65900000,36576704790,2313,Music,2012,15813534.280155642,0
23,Zee TV,63000000,17111576122,60802,Entertainment,2005,281431.1391401599,0
24,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010,3625056.4747590055,0
25,Pinkfong Baby Shark - Kids' Songs & Stories,59400000,32107290522,2374,Education,2011,13524553.716090987,0
26,Dude Perfect,58100000,14742860905,297,Sports,2009,49639262.306397304,26
27,ChuChu TV Nursery Rhymes & Kids Songs,57700000,39266652127,506,Education,2013,77602079.30237155,0
28,Movieclips,57600000,58839819120,39202,Film & Animation,2006,1500939.215346156,0
29,Marshmello,55700000,13445424556,401,Entertainment,2015,33529737.047381546,0
30,Colors TV,55100000,52611504230,87427,Shows,2008,601776.387500429,0
31,Wave Music,53400000,37230876862,18622,Music,2014,1999295.288475996,0
32,EminemMusic,53000000,23717869724,140,Music,2007,169413355.17142856,2
33,Aaj Tak,52900000,20204939173,196497,News & Politics,2009,102825.68778658198,0
34,Tips Official,52800000,27883080973,3612,Music,2007,7719568.3756921375,0
35,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011,1017116.7237955593,0
36,Sony Music India,52400000,24856641898,3180,Music,2009,7816554.055974843,0
37,Ed Sheeran,52200000,27881781761,253,Music,2006,110204670.99209486,17
38,El Reino Infantil,51700000,49895247456,1309,Music,2011,38117072.158899926,0
39,Ariana Grande,51600000,22158094076,146,Music,2007,151767767.6438356,1
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014,52466517.891500905,0
41,YRF,47600000,29366788406,3289,Film & Animation,2006,8928789.421100639,0
42,Taylor Swift,47100000,25563795998,189,Music,2006,135258179.88359788,1
43,Billie Eilish,46200000,11999349578,48,Music,2013,249986449.54166666,5
44,JuegaGerman,46100000,13698034536,1959,Gaming,2013,6992360.661562022,0
45,BillionSurpriseToys - English Kids Songs & Cartoon,45700000,8590657189,648,Education,2013,13257187.020061728,0
46,Infobells - Hindi,45600000,25635591765,476,Education,2014,53856285.22058824,0
47,Badabun,45600000,18567925780,13814,Entertainment,2014,1344138.249601853,0
48,Fernanfloo,45100000,9966728650,541,Gaming,2011,18422788.63216266,0
49,Felipe Neto,44300000,15475571879,3512,Entertainment,2006,4406484.020216401,0
50,BRIGHT SIDE,43900000,10058536263,4540,Howto & Style,2017,2215536.6218061675,0
51,whinderssonnunes,43900000,4120078906,521,Comedy,2013,7908020.932821497,0
52,Você Sabia?,43300000,7284075395,1315,Entertainment,2013,5539220.83269962,0
53,HolaSoyGerman.,43300000,4735959546,136,Entertainment,2011,34823231.955882356,0
54,Katy Perry,43200000,23966278157,118,Music,2008,203104052.1779661,0
55,SonyMusicIndiaVEVO,42700000,23991411417,3309,Music,2009,7250350.987307344,0
56,Bad Bunny,42500000,23748805401,123,Music,2014,193079718.70731708,2
57,Alan Walker,42200000,11731228995,318,Music,2012,36890657.216981135,0
58,Like Nastya Show,41500000,18745015002,599,Entertainment,2017,31293848.083472453,0
59,Get Movies,41300000,28559341412,3963,Entertainment,2006,7206495.435780974,0
60,A4,41200000,16717234472,645,Gaming,2014,25918192.97984496,0
61,Speed Records,40800000,24558172214,10327,Music,2012,2378054.828507795,1
62,ABS-CBN Entertainment,40600000,47544242811,179522,People & Blogs,2008,264837.97423714085,0
63,elrubiusOMG,40400000,7483116325,705,Gaming,2011,10614349.397163121,0
64,Shemaroo,39700000,20489429972,9707,Entertainment,2007,2110789.118368188,0
65,Rihanna,39600000,20092128845,79,Entertainment,2005,254330744.87341774,0
66,Little Baby Bum - Nursery Rhymes & Kids Songs,39500000,37136069429,1989,Education,2011,18670723.694821518,0
67,Luisito Comunica,39200000,7691260396,1119,Comedy,2012,6873333.687220733,0
68,Voot Kids,38800000,17685426640,3282,Entertainment,2016,5388612.626447288,0
69,Маша и Медведь,38700000,32833907997,1198,Film & Animation,2011,27407268.778797995,0
70,TheEllenShow,38300000,22335550787,14404,Entertainment,2006,1550649.1798805888,16
71,LUCCAS NETO - LUCCAS TOON,37800000,20454693770,1875,People & Blogs,2014,10909170.010666667,0
72,Ishtar Music,37800000,14999240876,4535,Trailers,2005,3307440.104961411,0
73,GR6 EXPLODE,37600000,23912270526,4180,Music,2014,5720638.881818182,0
74,XXXTENTACION,37600000,9725253939,126,Music,2015,77184555.07142857,3
75,One Direction,37400000,12698961117,157,Music,2010,80885102.65605095,0
76,Shakira,37200000,23715669906,287,People & Blogs,2005,82632996.18815331,0
77,Kimberly Loaiza,37200000,4254148920,206,People & Blogs,2016,20651208.349514563,0
78,WorkpointOfficial,37000000,33773658170,62039,Entertainment,2012,544393.9807218041,0
79,Daddy Yankee,36800000,20479831396,423,Music,2011,48415677.059101656,0
80,Toys and Colors,36500000,40932580174,821,Entertainment,2016,49856979.505481124,0
81,CarryMinati,36300000,2948237121,178,Comedy,2014,16563129.893258426,0
83,Maroon 5,36000000,20838666788,163,Music,2006,127844581.5214724,0
84,shfa,35900000,19083355034,847,People & Blogs,2015,22530525.42384888,0
85,TEDx Talks,35900000,6660397688,185006,Nonprofits & Activism,2009,36000.98206544653,0
86,shfa2 - شفا,35800000,20816532667,1351,People & Blogs,2017,15408240.316062177,0
87,Jkk Entertainment,35700000,15133442317,194,Comedy,2017,78007434.62371135,0
88,Super Simple Songs - Kids Songs,35300000,37440873935,600,Education,2006,62401456.55833333,0
89,Bruno Mars,35300000,17395825825,97,Music,2006,179338410.5670103,4
90,Ozuna,35200000,21048440606,137,Music,2016,153638252.59854016,0
91,Masha and The Bear,35100000,19426654260,935,Shows,2014,20777170.331550803,0
92,one31,34400000,26969165355,128901,Entertainment,2013,209223.86447738964,0
93,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015,4482003.871018606,0
94,Like Nastya ESP,33600000,15934957738,630,Entertainment,2017,25293583.71111111,0
95,J Balvin,33600000,21489532517,134,Music,2011,160369645.64925373,0
96,Mikecrack,33500000,13775632479,1727,Gaming,2015,7976625.63925883,0
97,VEGETTA777,33400000,14948682643,7130,Gaming,2008,2096589.4309957924,0
